seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in, duty
1, 0.0013394355773925781, 0.007623434066772461, 0.0, 0.0, 0.5060154423657949, 0.0, 13.534, 13.534, 0.025565630054628224, 0.0, 0.0
2, 0.2503347396850586, 0.2569444179534912, 0.0, 0.0, 0.5340162968840602, 0.0, 13.534, 13.534, 0.14456926175725568, 0.0, 0.0
3, 0.5003347396850586, 0.5065383911132812, 0.0, 0.0, 0.5580170293282877, 0.0, 13.534, 13.534, 0.2465723746452226, 0.0, 0.0
4, 0.7503247261047363, 0.7566261291503906, 0.0, 0.0, 0.5600170903653066, 0.0, 13.534, 13.534, 0.25507263405255287, 0.0, 0.0
5, 1.0003211498260498, 1.0065944194793701, 0.0, 0.0, 0.582017761772515, 0.0, 13.534, 13.534, 0.34857548753318857, 0.0, 0.0
6, 1.2503256797790527, 1.2565584182739258, 0.0, 0.0, 0.6000183111056856, 0.0, 13.534, 13.534, 0.4250778221991638, 0.0, 0.0
7, 1.5003232955932617, 1.5065481662750244, 0.0, 0.0, 0.6180188604388561, 0.0, 13.534, 13.534, 0.5015801568651386, 0.0, 0.0
8, 1.750328779220581, 1.7566254138946533, 0.0, 0.0, 0.6200189214758751, 0.0, 13.534, 13.534, 0.5100804162724693, 0.0, 0.0
9, 2.000324249267578, 2.0711421966552734, 0.0, 0.0, 0.6360194097720268, 0.0, 13.534, 13.534, 0.5780824915311137, 0.0, 0.0
