seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in, duty
1, 0.001163482666015625, 0.006772279739379883, 0.0, 0.0, 0.5120156254768518, 0.0, 13.534, 13.534, 0.05106640827661996, 0.0, 0.0
2, 0.2503359317779541, 0.25668931007385254, 0.0, 0.0, 0.4760145268105106, 0.0, 13.534, 13.534, -0.10193826105532997, 0.0, 0.0
3, 0.5003154277801514, 0.5059027671813965, 0.0, 0.0, 0.48401477095858636, 0.0, 13.534, 13.534, -0.06793722342600797, 0.0, 0.0
4, 0.7503464221954346, 0.7566137313842773, 0.0, 0.0, 0.4880148930326243, 0.0, 13.534, 13.534, -0.050936704611346736, 0.0, 0.0
5, 1.0003197193145752, 1.005852222442627, 0.0, 0.0, 0.4860148319956053, 0.0, 13.534, 13.534, -0.05943696401867747, 0.0, 0.0
6, 1.250337839126587, 1.256568193435669, 0.0, 0.0, 0.5060154423657949, 0.0, 13.534, 13.534, 0.025565630054628224, 0.0, 0.0
7, 1.5003314018249512, 1.50600004196167, 0.0, 0.0, 0.5040153813287759, 0.0, 13.534, 13.534, 0.01706537064729749, 0.0, 0.0
8, 1.7503201961517334, 1.7565674781799316, 0.0, 0.0, 0.5180158085879086, 0.0, 13.534, 13.534, 0.07656718649861169, 0.0, 0.0
9, 2.0003228187561035, 2.034633159637451, 0.0, 0.0, 0.5280161137730034, 0.0, 13.534, 13.534, 0.11906848353526442, 0.0, 0.0
10, 2.250290632247925, 2.257023572921753, 0.0, 0.0, 0.544016602069155, 0.0, 13.534, 13.534, 0.18707055879390888, 0.0, 0.0
11, 2.50032377243042, 2.5065460205078125, 0.0, 0.0, 0.5520168462172308, 0.0, 13.534, 13.534, 0.22107159642323088, 0.0, 0.0
12, 2.75034761428833, 2.75666880607605, 0.0, 0.0, 0.5860178838465528, 0.0, 13.534, 13.534, 0.3655760063478496, 0.0, 0.0
13, 3.000324249267578, 3.0059735774993896, 0.0, 0.0, 0.6180188604388561, 0.0, 13.534, 13.534, 0.5015801568651386, 0.0, 0.0
14, 3.250319242477417, 3.2565271854400635, 0.0, 0.0, 0.6420195928830836, 0.0, 13.534, 13.534, 0.6035832697531054, 0.0, 0.0
15, 3.500322103500366, 3.506671667098999, 0.0, 0.0, 0.666020325327311, 0.0, 13.534, 13.534, 0.7055863826410719, 0.0, 0.0
16, 3.7503180503845215, 3.7562203407287598, 0.0, 0.0, 0.7260221564378796, 0.0, 13.534, 13.534, 0.9605941648609883, 0.0, 0.0
17, 4.000321865081787, 4.005988836288452, 0.0, 0.0, 0.708021607104709, 0.0, 13.534, 13.534, 0.8840918301950131, 0.0, 0.0
18, 4.250327110290527, 4.256859540939331, 0.0, 0.0, 0.7320223395489364, 0.0, 13.534, 13.534, 0.9860949430829795, 0.0, 0.0
19, 4.500318288803101, 4.506592273712158, 0.0, 0.0, 0.7600231940672018, 0.0, 13.534, 13.534, 1.1050985747856075, 0.0, 0.0
20, 4.750342607498169, 4.756553649902344, 0.0, 0.0, 0.790024109622486, 0.0, 13.534, 13.534, 1.2326024658955657, 0.0, 0.0
21, 5.000321865081787, 5.00666618347168, 0.0, 0.0, 0.8020244758445998, 0.0, 13.534, 13.534, 1.283604022339549, 0.0, 0.0
22, 5.250313997268677, 5.2565460205078125, 0.0, 0.0, 0.8380255745109408, 0.0, 13.534, 13.534, 1.4366086916714986, 0.0, 0.0
23, 5.500310897827148, 5.5065765380859375, 0.0, 0.0, 0.8440257576219977, 0.0, 13.534, 13.534, 1.4621094698934902, 0.0, 0.0
24, 5.750313997268677, 5.756335258483887, 0.0, 0.0, 0.8500259407330546, 0.0, 13.534, 13.534, 1.487610248115482, 0.0, 0.0
25, 6.0003156661987305, 6.0059614181518555, 0.0, 0.0, 0.8520260017700735, 0.0, 13.534, 13.534, 1.4961105075228123, 0.0, 0.0
26, 6.250124931335449, 6.26231575012207, 0.0, 0.0, 0.8680264900662251, 0.0, 13.534, 13.534, 1.5641125827814568, 0.0, 0.0
