seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in, duty
1, 0.0012967586517333984, 0.00753021240234375, 0.0, 0.0, 0.5480167241431929, 0.5960181890316477, 13.534, 13.534, 0.20407107760856988, 0.5960181890316477, 0.0
2, 0.25034403800964355, 0.25670409202575684, 0.0, 0.0, 0.5200158696249275, 0.5720174565874203, 13.534, 13.534, 0.08506744590594195, 0.5720174565874203, 0.0
3, 0.5003187656402588, 0.5066123008728027, 0.0, 0.0, 0.502015320291757, 0.5700173955504014, 13.534, 13.534, 0.008565111239967227, 0.5700173955504014, 0.0
4, 0.7503323554992676, 0.7566626071929932, 0.0, 0.0, 0.49001495406964324, 0.5680173345133824, 13.534, 13.534, -0.04243644520401624, 0.5680173345133824, 0.0
5, 1.000321626663208, 1.0059137344360352, 0.0, 0.0, 0.4920150151066622, 0.5600170903653066, 13.534, 13.534, -0.03393618579668574, 0.5600170903653066, 0.0
6, 1.2503232955932617, 1.256734848022461, 0.0, 0.0, 0.500015259254738, 0.5560169682912687, 13.534, 13.534, 6.485183263649219e-05, 0.5560169682912687, 0.0
7, 1.5003361701965332, 1.5066962242126465, 0.0, 0.0, 0.5040153813287759, 0.544016602069155, 13.534, 13.534, 0.01706537064729749, 0.544016602069155, 0.0
8, 1.75032377243042, 1.7567026615142822, 0.0, 0.0, 0.5140156865138706, 0.5380164189580982, 13.534, 13.534, 0.05956666768395022, 0.5380164189580982, 0.0
9, 2.000319004058838, 2.0829291343688965, 0.0, 0.0, 0.5360163579210792, 0.5320162358470413, 13.534, 13.534, 0.15306952116458641, 0.5320162358470413, 0.0
10, 2.250253200531006, 2.256505012512207, 0.0, 0.0, 0.5880179448835718, 0.5340162968840602, 13.534, 13.534, 0.3740762657551803, 0.5340162968840602, 0.0
11, 2.5003161430358887, 2.506654977798462, 0.0, 0.0, 0.6280191656239509, 0.5300161748100223, 13.534, 13.534, 0.5440814539017913, 0.5300161748100223, 0.5
12, 2.7503175735473633, 2.756551504135132, 0.0, 0.0, 0.6920211188085574, 0.5280161137730034, 13.534, 13.534, 0.816089754936369, 0.5280161137730034, 0.5
13, 3.0003020763397217, 3.0063633918762207, 0.0, 0.0, 0.7880240485854672, 0.5220159306619465, 13.534, 13.534, 1.2241022064882354, 0.5220159306619465, 0.5
14, 3.2503175735473633, 3.2565691471099854, 0.0, 0.0, 0.8140248420667135, 0.5160157475508896, 13.534, 13.534, 1.3346055787835325, 0.5160157475508896, 0.5
15, 3.5003113746643066, 3.5065433979034424, 0.0, 0.0, 0.8680264900662251, 0.5140156865138706, 13.534, 13.534, 1.5641125827814568, 0.5140156865138706, 0.5
16, 3.750319480895996, 3.756527900695801, 0.0, 0.0, 0.8800268562883389, 0.5060154423657949, 13.534, 13.534, 1.6151141392254402, 0.5060154423657949, 0.5
17, 4.00030779838562, 4.006451606750488, 0.0, 0.0, 0.9100277718436232, 0.4940150761436811, 13.534, 13.534, 1.7426180303353984, 0.4940150761436811, 0.5
18, 4.250315189361572, 4.256686687469482, 0.0, 0.0, 0.9140278939176611, 0.49001495406964324, 13.534, 13.534, 1.7596185491500598, 0.49001495406964324, 0.5
19, 4.500311851501465, 4.506458759307861, 0.0, 0.0, 0.9260282601397748, 0.49001495406964324, 13.534, 13.534, 1.810620105594043, 0.49001495406964324, 0.5
20, 4.750314950942993, 4.75651741027832, 0.0, 0.0, 0.9440288094729454, 0.5040153813287759, 13.534, 13.534, 1.887122440260018, 0.5040153813287759, 0.5
21, 5.000324487686157, 5.006605863571167, 0.0, 0.0, 0.960029297769097, 0.5180158085879086, 13.534, 13.534, 1.955124515518662, 0.5180158085879086, 0.5
22, 5.250324964523315, 5.256713628768921, 0.0, 0.0, 0.9640294198431348, 0.540016479995117, 13.534, 13.534, 1.972125034333323, 0.540016479995117, 0.5
23, 5.50032114982605, 5.506585359573364, 0.0, 0.0, 0.9640294198431348, 0.5480167241431929, 13.534, 13.534, 1.972125034333323, 0.5480167241431929, 0.5
24, 5.750309705734253, 5.756553411483765, 0.0, 0.0, 0.9780298471022675, 0.5540169072542498, 13.534, 13.534, 2.0316268501846366, 0.5540169072542498, 0.5
25, 6.00031852722168, 6.006604909896851, 0.0, 0.0, 0.9820299691763054, 0.5540169072542498, 13.534, 13.534, 2.048627368999298, 0.5540169072542498, 0.5
26, 6.250308275222778, 6.263533353805542, 0.0, 0.0, 0.9900302133243812, 0.49801519821771906, 13.534, 13.534, 2.0826284066286203, 0.49801519821771906, 0.5
27, 6.50033164024353, 6.506789922714233, 0.0, 0.0, 0.9940303353984191, 0.5600170903653066, 13.534, 13.534, 2.099628925443281, 0.5600170903653066, 0.5
28, 6.750307083129883, 6.756464242935181, 0.0, 0.0, 0.9920302743614002, 0.5620171514023256, 13.534, 13.534, 2.091128666035951, 0.5620171514023256, 0.5
29, 7.000299453735352, 7.0066773891448975, 0.0, 0.0, 0.9900302133243812, 0.5680173345133824, 13.534, 13.534, 2.0826284066286203, 0.5680173345133824, 0.5
30, 7.250319957733154, 7.256589889526367, 0.0, 0.0, 0.9660294808801538, 0.5800177007354961, 13.534, 13.534, 1.9806252937406539, 0.5800177007354961, 0.5
31, 7.500315189361572, 7.506586790084839, 0.0, 0.0, 0.9420287484359264, 0.584017822809534, 13.534, 13.534, 1.8786221808526873, 0.584017822809534, 0.5
32, 7.750305891036987, 7.756425380706787, 0.0, 0.0, 0.9080277108066043, 0.5980182500686666, 13.534, 13.534, 1.7341177709280682, 0.5980182500686666, 0.5
