seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.03873896598815918, 0.06232023239135742, 0.0, 0.0, 0.5080155034028138, 0.5500167851802118, 13.534, 13.534, 0.03406588946195849, 0, 0.5500167851802118, 0.0, 0.0, 0.0, 0
2, 0.25536656379699707, 0.3549778461456299, 85.25, 76.5, 0.5080155034028138, 0.5600170903653066, 82.833725, 75.72085, 0.03406588946195849, 0.001419412060914937, 0.5600170903653066, 1.0, [2181.66250975], 0.0, 0
3, 0.5053083896636963, 0.5282294750213623, 85.25, 76.75, 0.5060154423657949, 0.5860178838465528, 82.833725, 75.924075, 0.025565630054628224, 0.002838824121829874, 0.5860178838465528, 1.0, [2181.72865533], 0.0, 0
4, 0.750293493270874, 0.7600207328796387, 85.25, 76.75, 0.5100155644398328, 0.5660172734763634, 82.833725, 75.924075, 0.04256614886928922, 0.0039040587074393833, 0.5660172734763634, 1.0, [2181.7948009], 0.0, 0
5, 1.0003235340118408, 1.0104091167449951, 85.5, 76.5, 0.5080155034028138, 0.5640172124393446, 83.03695, 75.72085, 0.03406588946195849, 0.005677648243659767, 0.5640172124393446, 1.0, [2181.86094647], 0.0, 0
6, 1.2508914470672607, 147.27445697784424, 85.5, 76.75, 0.5080155034028138, 0.5640172124393446, 83.03695, 75.924075, 0.03406588946195849, 0.0070970603045747045, 0.5640172124393446, 1.0, [2181.92709205], 0.0, 0
7, 150.78139686584473, 240.84145998954773, 83.0, 74.75, 0.49801519821771906, 0.5640172124393446, 81.0047, 74.298275, -0.008435407574694007, 0.008516472365489641, 0.5640172124393446, 1.0, [2181.99323762], 0.0, 0
8, 241.0002224445343, 241.0085575580597, 82.0, 73.5, 0.49001495406964324, 0.5640172124393446, 80.1918, 73.28215, -0.04243644520401624, 0.008164997049877392, 0.5640172124393446, 1.0, [2182.0593832], 0.03584688636526597, 0
9, 241.25030732154846, 241.25972890853882, 82.25, 73.75, 0.4920150151066622, 0.5600170903653066, 80.395025, 73.485375, -0.03393618579668574, 0.006396811833043382, 0.5600170903653066, 1.0, [2182.12552877], 0.0, 0
10, 241.50030875205994, 241.5103840827942, 82.0, 73.75, 0.4920150151066622, 0.5560169682912687, 80.1918, 73.485375, -0.03393618579668574, 0.004982804091514809, 0.5560169682912687, 1.0, [2182.19167435], 0.0, 0
11, 241.7503113746643, 241.75993013381958, 82.0, 73.75, 0.4920150151066622, 0.5560169682912687, 80.1918, 73.485375, -0.03393618579668574, 0.0035687963499862366, 0.5560169682912687, 1.0, [2182.25781992], 0.0, 0
12, 242.00030994415283, 242.0098900794983, 82.0, 73.75, 0.49001495406964324, 0.5560169682912687, 80.1918, 73.485375, -0.04243644520401624, 0.002154788608457664, 0.5560169682912687, 1.0, [2182.3239655], 0.0, 0
13, 242.25026631355286, 242.2604284286499, 82.25, 73.75, 0.4920150151066622, 0.5660172734763634, 80.395025, 73.485375, -0.03393618579668574, 0.00038660339162365404, 0.5660172734763634, 1.0, [2182.39011107], 0.0, 0
14, 242.5003044605255, 242.50993180274963, 82.0, 73.75, 0.4940150761436811, 0.5580170293282877, 80.1918, 73.485375, -0.02543592638935524, -0.0010274043499049184, 0.5580170293282877, 1.0, [2182.45625664], 0.0, 0
15, 242.75030517578125, 242.75963425636292, 82.5, 73.25, 0.4920150151066622, 0.5640172124393446, 80.59825000000001, 73.078925, -0.03393618579668574, -0.0020872346161280534, 0.5640172124393446, 1.0, [2182.52240222], 0.0, 0
16, 243.000305891037, 243.01088571548462, 81.75, 73.75, 0.4920150151066622, 0.5620171514023256, 79.988575, 73.485375, -0.03393618579668574, -0.003501242357656626, 0.5620171514023256, 1.0, [2182.58854779], 0.0, 0
17, 243.25032877922058, 243.26073122024536, 82.0, 73.5, 0.4920150151066622, 0.5620171514023256, 80.1918, 73.28215, -0.03393618579668574, -0.004915250099185199, 0.5620171514023256, 1.0, [2182.65469337], 0.0, 0
18, 243.5003161430359, 243.50990891456604, 82.25, 73.75, 0.4920150151066622, 0.5660172734763634, 80.395025, 73.485375, -0.03393618579668574, -0.00632925784071377, 0.5660172734763634, 1.0, [2182.72083894], 0.0, 0
