seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.012701272964477539, 0.06049990653991699, 0.0, 0.0, 1.8840574968718529, 0.5640172124393446, 13.534, 13.534, 5.882244361705375, 0, 0.5640172124393446, 0.0, 0.0, 0.0, 0
2, 0.2553277015686035, 0.34189391136169434, 161.25, 150.0, 1.8880576189458909, 0.5560169682912687, 144.61412499999997, 135.469, 5.899244880520036, 0.24509351507105728, 0.5560169682912687, 1.0, [17.87378549], 0.0, 0
3, 0.505279541015625, 0.5126149654388428, 161.75, 150.0, 1.8880576189458909, 0.5600170903653066, 145.02057499999998, 135.469, 5.899244880520036, 0.4908953850927255, 0.5600170903653066, 1.0, [17.11701041], 0.0, 0
4, 0.7503061294555664, 0.7579467296600342, 161.25, 150.0, 1.8940578020569476, 0.5600170903653066, 144.61412499999997, 135.469, 5.924745658742028, 0.7366972551143937, 0.5600170903653066, 1.0, [16.36351244], 0.0, 0
5, 1.0003125667572021, 1.0073580741882324, 161.25, 150.25, 1.8920577410199286, 0.5780176396984771, 144.61412499999997, 135.672225, 5.916245399334697, 0.9835616575619781, 0.5780176396984771, 1.0, 1.0, 0.0, 2
6, 1.250342845916748, 1.2581217288970947, 161.5, 149.75, 1.878057313760796, 0.5760175786614582, 144.81734999999998, 135.265775, 5.856743583483383, 1.2300718825342571, 0.5760175786614582, 1.0, 1.0, 0.0, 2
7, 1.5003221035003662, 1.506845235824585, 161.5, 150.0, 1.878057313760796, 0.5700173955504014, 144.81734999999998, 135.469, 5.856743583483383, 1.474102865179398, 0.5700173955504014, 1.0, 1.0, 0.0, 2
8, 1.7503159046173096, 1.7579073905944824, 161.5, 149.5, 1.8920577410199286, 0.5720174565874203, 144.81734999999998, 135.06255, 5.916245399334697, 1.7181338478245392, 0.5720174565874203, 1.0, 1.0, 0.0, 2
9, 2.0003128051757812, 2.0078516006469727, 161.5, 149.25, 1.8920577410199286, 0.5740175176244393, 144.81734999999998, 134.85932499999998, 5.916245399334697, 1.9646440727968182, 0.5740175176244393, 1.0, 1.0, 0.0, 2
10, 2.2503156661987305, 2.257995843887329, 161.5, 149.5, 1.8920577410199286, 0.5740175176244393, 144.81734999999998, 135.06255, 5.916245399334697, 2.2111542977690974, 0.5740175176244393, 1.0, 1.0, 0.0, 2
