seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.035860538482666016, 0.07824277877807617, 0.0, 0.0, 2.1420653706472974, 0.5760175786614582, 13.534, 13.534, 6.978777825251014, 0, 0.5760175786614582, 0.0, 0.0, 0.0, 0
2, 0.2511465549468994, 0.3394312858581543, 166.75, 154.0, 2.1460654927213354, 0.5660172734763634, 149.085075, 138.7206, 6.995778344065675, 0.2907824093854589, 0.5660172734763634, 1.0, [111.78613633], 0.0, 0
3, 0.5052778720855713, 0.5194692611694336, 166.5, 154.0, 2.1360651875362406, 0.582017761772515, 148.88185, 138.7206, 6.953277047029022, 0.5822731737215286, 0.582017761772515, 1.0, [111.05207744], 0.0, 0
4, 0.7502918243408203, 0.7599892616271973, 166.5, 153.25, 2.1480655537583546, 0.5560169682912687, 148.88185, 138.11092499999998, 7.004278603473007, 0.8719930506810712, 0.5560169682912687, 1.0, [110.31543662], 0.0, 0
5, 1.0003421306610107, 1.010133981704712, 167.0, 154.0, 2.1420653706472974, 0.5600170903653066, 149.2883, 138.7206, 6.978777825251014, 1.1638379924924467, 0.5600170903653066, 1.0, [109.57869323], 0.0, 0
6, 1.2503108978271484, 1.2603983879089355, 166.75, 153.75, 2.1480655537583546, 0.5680173345133824, 149.085075, 138.517375, 7.004278603473007, 1.4546204018779054, 0.5680173345133824, 1.0, [108.8418776], 0.0, 0
7, 1.5003080368041992, 1.5097734928131104, 167.0, 154.0, 2.1460654927213354, 0.5600170903653066, 149.2883, 138.7206, 6.995778344065675, 1.746465343689281, 0.5600170903653066, 1.0, [108.10508379], 0.0, 0
8, 1.7503037452697754, 1.7596955299377441, 167.0, 153.75, 2.1460654927213354, 0.5620171514023256, 149.2883, 138.517375, 6.995778344065675, 2.0379561080253503, 0.5620171514023256, 1.0, [107.3683838], 0.0, 0
9, 2.0001087188720703, 2.0099751949310303, 167.0, 154.25, 2.1460654927213354, 0.5640172124393446, 149.2883, 138.923825, 6.995778344065675, 2.329446872361421, 0.5640172124393446, 1.0, [106.63182355], 0.0, 0
10, 2.2503085136413574, 2.2601301670074463, 167.0, 154.0, 2.1460654927213354, 0.5680173345133824, 149.2883, 138.7206, 6.995778344065675, 2.6209376366974904, 0.5680173345133824, 1.0, [105.8954141], 0.0, 0
11, 2.5003116130828857, 2.5101776123046875, 166.5, 154.0, 2.1440654316843166, 0.5700173955504014, 148.88185, 138.7206, 6.987278084658346, 2.91242840103356, 0.5700173955504014, 1.0, [105.15925867], 0.0, 0
12, 2.750307321548462, 2.760188579559326, 166.75, 154.0, 2.1440654316843166, 0.5740175176244393, 149.085075, 138.7206, 6.987278084658346, 3.2035649878943246, 0.5740175176244393, 1.0, [104.42332081], 0.0, 0
13, 3.00030779838562, 3.0094985961914062, 166.75, 154.0, 2.1440654316843166, 0.5740175176244393, 149.085075, 138.7206, 6.987278084658346, 3.494701574755089, 0.5740175176244393, 1.0, [103.68762817], 0.0, 0
14, 3.2502834796905518, 3.2601265907287598, 167.0, 154.0, 2.1400653096102786, 0.5780176396984771, 149.2883, 138.7206, 6.970277565843684, 3.785838161615853, 0.5780176396984771, 1.0, [102.95217889], 0.0, 0
15, 3.500316858291626, 3.5101821422576904, 166.5, 153.5, 2.1420653706472974, 0.5760175786614582, 148.88185, 138.31414999999998, 6.978777825251014, 4.076266393526007, 0.5760175786614582, 1.0, [102.21697314], 0.0, 0
16, 3.7503020763397217, 3.760100841522217, 166.75, 153.5, 2.1420653706472974, 0.5780176396984771, 149.085075, 138.31414999999998, 6.978777825251014, 4.367048802911466, 0.5780176396984771, 1.0, [101.48200966], 0.0, 0
17, 4.000250339508057, 4.0101964473724365, 167.25, 153.25, 2.1440654316843166, 0.5780176396984771, 149.491525, 138.11092499999998, 6.987278084658346, 4.657831212296924, 0.5780176396984771, 1.0, [100.74730293], 0.0, 0
