seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.011113643646240234, 0.05234050750732422, 0.0, 0.0, 0.4940150761436811, 0.584017822809534, 13.534, 13.534, -0.02543592638935524, 0, 0.584017822809534, 0.0, 0.0, 0.0, 0
2, 0.25533103942871094, 0.33642077445983887, 22.75, 22.75, 0.4960151371807001, 0.5620171514023256, 32.027475, 32.027475, -0.016935666982024505, -0.001059830266223135, 0.5620171514023256, 1.0, 1.2708710764804325, 0.0, 0
3, 0.5052986145019531, 0.5123255252838135, 22.5, 23.0, 0.4940150761436811, 0.5540169072542498, 31.82425, 32.2307, -0.02543592638935524, -0.0017654830571408227, 0.5540169072542498, 1.0, 1.2708710764804325, 0.0, 0
4, 0.7503080368041992, 0.758143424987793, 22.75, 22.5, 0.4960151371807001, 0.5720174565874203, 32.027475, 31.82425, -0.016935666982024505, -0.002825313323363958, 0.5720174565874203, 1.0, 1.2708710764804325, 0.0, 0
5, 1.0003232955932617, 1.0083427429199219, 22.75, 22.75, 0.4960151371807001, 0.5660172734763634, 32.027475, 32.027475, -0.016935666982024505, -0.0035309661142816453, 0.5660172734763634, 1.0, 1.2708710764804325, 0.0, 0
