seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.02715778350830078, 0.04058337211608887, 0.0, 0.0, 0.5180158085879086, 0.542016541032136, 13.534, 13.534, 0.07656718649861169, 0, 0.542016541032136, 0.0, 0.0, 0.0, 0
2, 0.25543737411499023, 0.30148839950561523, 88.75, 80.25, 0.5160157475508896, 0.5560169682912687, 85.678875, 78.769225, 0.06806692709128095, 0.003190299437442154, 0.5560169682912687, 1.0, [2415.72261166], 0.0, 0
3, 0.505439043045044, 0.5252749919891357, 88.5, 79.75, 0.5180158085879086, 0.5360163579210792, 85.47565, 78.362775, 0.07656718649861169, 0.00602642139957886, 0.5360163579210792, 1.0, [2414.73054361], 0.0, 0
4, 0.7503206729888916, 0.7576518058776855, 88.75, 80.0, 0.5160157475508896, 0.5560169682912687, 85.678875, 78.566, 0.06806692709128095, 0.009216720837021014, 0.5560169682912687, 1.0, [2413.7390406], 0.0, 0
5, 1.000295639038086, 1.0073127746582031, 88.75, 79.5, 0.5220159306619465, 0.5560169682912687, 85.678875, 78.15955, 0.09356770531327269, 0.01205284279915772, 0.5560169682912687, 1.0, [2412.74814402], 0.0, 0
6, 1.2503695487976074, 1.2578232288360596, 88.75, 79.75, 0.5160157475508896, 0.5520168462172308, 85.678875, 78.362775, 0.06806692709128095, 0.015951497187210752, 0.5520168462172308, 1.0, [2411.75783697], 0.0, 0
7, 1.5002491474151611, 1.5089001655578613, 88.25, 79.75, 0.5180158085879086, 0.5500167851802118, 85.272425, 78.362775, 0.07656718649861169, 0.018787619149347456, 0.5500167851802118, 1.0, [2410.7681279], 0.0, 0
8, 1.7503297328948975, 1.758957862854004, 88.75, 80.0, 0.5140156865138706, 0.5540169072542498, 85.678875, 78.566, 0.05956666768395022, 0.021977918586789612, 0.5540169072542498, 1.0, [2409.77900895], 0.0, 0
9, 2.000342845916748, 2.014396905899048, 88.75, 79.75, 0.5140156865138706, 0.5660172734763634, 85.678875, 78.362775, 0.05956666768395022, 0.024459863073620868, 0.5660172734763634, 1.0, [2408.79048299], 0.0, 0
10, 2.2504663467407227, 2.2626190185546875, 88.75, 80.0, 0.5180158085879086, 0.5800177007354961, 85.678875, 78.566, 0.07656718649861169, 0.026941807560452127, 0.5800177007354961, 1.0, [2407.80254678], 0.0, 0
11, 2.500314474105835, 2.5082926750183105, 88.75, 80.0, 0.5140156865138706, 0.5500167851802118, 85.678875, 78.566, 0.05956666768395022, 0.030132106997894283, 0.5500167851802118, 1.0, [2406.81520092], 0.0, 0
12, 2.750333786010742, 2.7575600147247314, 88.5, 80.0, 0.5180158085879086, 0.5540169072542498, 85.47565, 78.566, 0.07656718649861169, 0.03261405148472554, 0.5540169072542498, 1.0, [2405.82844343], 0.0, 0
13, 3.0003468990325928, 3.0100584030151367, 88.5, 80.25, 0.5180158085879086, 0.5620171514023256, 85.47565, 78.769225, 0.07656718649861169, 0.035804350922167695, 0.5620171514023256, 1.0, [2404.84227406], 0.0, 0
14, 3.250356674194336, 3.25816011428833, 88.75, 80.0, 0.5160157475508896, 0.5560169682912687, 85.678875, 78.566, 0.06806692709128095, 0.03899465035960984, 0.5560169682912687, 1.0, [2403.85669135], 0.0, 0
15, 3.5003299713134766, 3.5117101669311523, 88.5, 80.0, 0.5160157475508896, 0.5740175176244393, 85.47565, 78.566, 0.06806692709128095, 0.041830772321746555, 0.5740175176244393, 1.0, [2402.87169472], 0.0, 0
16, 3.750352621078491, 3.7605319023132324, 88.75, 80.0, 0.5180158085879086, 0.5700173955504014, 85.678875, 78.566, 0.07656718649861169, 0.04466689428388326, 0.5700173955504014, 1.0, [2401.88728297], 0.0, 0
17, 4.000327110290527, 4.008763074874878, 88.5, 80.0, 0.5160157475508896, 0.5580170293282877, 85.47565, 78.566, 0.06806692709128095, 0.04785719372132541, 0.5580170293282877, 1.0, [2400.90345534], 0.0, 0
18, 4.254352331161499, 4.264521598815918, 88.5, 79.5, 0.5160157475508896, 0.5640172124393446, 85.47565, 78.15955, 0.06806692709128095, 0.050693315683462116, 0.5640172124393446, 1.0, [2399.92021073], 0.0, 0
19, 4.500300884246826, 4.507814645767212, 88.5, 80.0, 0.5180158085879086, 0.5600170903653066, 85.47565, 78.566, 0.07656718649861169, 0.05352943764559883, 0.5600170903653066, 1.0, [2398.93754834], 0.0, 0
20, 4.750745058059692, 4.759054899215698, 88.75, 79.75, 0.5140156865138706, 0.5740175176244393, 85.678875, 78.362775, 0.05956666768395022, 0.056719737083040976, 0.5740175176244393, 1.0, [2397.95546712], 0.0, 0
21, 5.000389337539673, 5.011075019836426, 88.5, 80.0, 0.5160157475508896, 0.5780176396984771, 85.47565, 78.566, 0.06806692709128095, 0.05920168156987224, 0.5780176396984771, 1.0, [2396.9739662], 0.0, 0
22, 5.2504048347473145, 5.2597267627716064, 88.5, 80.0, 0.5160157475508896, 0.5720174565874203, 85.47565, 78.566, 0.06806692709128095, 0.062037803532008946, 0.5720174565874203, 1.0, [2395.9930446], 0.0, 0
23, 5.500341176986694, 5.508665323257446, 89.0, 79.75, 0.5180158085879086, 0.5640172124393446, 85.88210000000001, 78.362775, 0.07656718649861169, 0.06487392549414565, 0.5640172124393446, 1.0, [2395.01270143], 0.0, 0
24, 5.750403881072998, 5.759503364562988, 88.5, 79.5, 0.5180158085879086, 0.5600170903653066, 85.47565, 78.15955, 0.07656718649861169, 0.0680642249315878, 0.5600170903653066, 1.0, [2394.03293572], 0.0, 0
25, 6.002312898635864, 6.026380300521851, 88.0, 79.5, 0.5160157475508896, 0.542016541032136, 85.06920000000001, 78.15955, 0.06806692709128095, 0.07125452436902996, 0.542016541032136, 1.0, [2393.05374656], 0.0, 0
26, 6.250444412231445, 6.259122133255005, 88.25, 79.75, 0.5160157475508896, 0.5680173345133824, 85.272425, 78.362775, 0.06806692709128095, 0.07090034689372451, 0.5680173345133824, 1.0, [2392.075133], 0.0, 0
27, 6.500344514846802, 6.509337902069092, 88.75, 80.0, 0.5180158085879086, 0.5660172734763634, 85.678875, 78.566, 0.07656718649861169, 0.0709003468937245, 0.5660172734763634, 1.0, [2391.09709414], 0.0, 0
28, 6.750336170196533, 6.757941007614136, 88.75, 79.75, 0.5180158085879086, 0.5680173345133824, 85.678875, 78.362775, 0.07656718649861169, 0.07090034689372451, 0.5680173345133824, 1.0, [2390.11962902], 0.0, 0
29, 7.00031590461731, 7.007882118225098, 88.5, 79.75, 0.5180158085879086, 0.5640172124393446, 85.47565, 78.362775, 0.07656718649861169, 0.07125452436902996, 0.5640172124393446, 1.0, [2389.14273675], 0.0, 0
30, 7.250401258468628, 7.259398937225342, 88.5, 79.5, 0.5180158085879086, 0.5700173955504014, 85.47565, 78.15955, 0.07656718649861169, 0.07054616941841908, 0.5700173955504014, 1.0, [2388.16641638], 0.0, 0
31, 7.5003321170806885, 7.508186101913452, 88.75, 80.0, 0.5160157475508896, 0.5680173345133824, 85.678875, 78.566, 0.06806692709128095, 0.07090034689372453, 0.5680173345133824, 1.0, [2387.190667], 0.0, 0
32, 7.7503039836883545, 7.757187128067017, 88.5, 80.0, 0.5200158696249275, 0.5680173345133824, 85.47565, 78.566, 0.08506744590594195, 0.07054616941841908, 0.5680173345133824, 1.0, [2386.21548769], 0.0, 0
33, 8.000300884246826, 8.006999731063843, 88.5, 80.25, 0.5200158696249275, 0.5620171514023256, 85.47565, 78.769225, 0.08506744590594195, 0.07160870184433542, 0.5620171514023256, 1.0, [2385.24087754], 0.0, 0
34, 8.250318765640259, 8.258918762207031, 88.5, 79.75, 0.5160157475508896, 0.5740175176244393, 85.47565, 78.362775, 0.06806692709128095, 0.07267123427025172, 0.5740175176244393, 1.0, [2384.26683561], 0.0, 0
35, 8.504595756530762, 8.51791524887085, 88.5, 79.25, 0.5180158085879086, 0.5600170903653066, 85.47565, 77.956325, 0.07656718649861169, 0.07231705679494628, 0.5600170903653066, 1.0, [2383.29336101], 0.0, 0
36, 8.750304937362671, 8.757341623306274, 88.5, 80.25, 0.5200158696249275, 0.5680173345133824, 85.47565, 78.769225, 0.08506744590594195, 0.07302541174555717, 0.5680173345133824, 1.0, [2382.32045281], 0.0, 0
37, 9.000290155410767, 9.01073694229126, 88.5, 79.75, 0.5180158085879086, 0.5720174565874203, 85.47565, 78.362775, 0.07656718649861169, 0.07337958922086261, 0.5720174565874203, 1.0, [2381.34811011], 0.0, 0
38, 9.250423431396484, 9.258655548095703, 88.75, 80.0, 0.5160157475508896, 0.5720174565874203, 85.678875, 78.566, 0.06806692709128095, 0.0733795892208626, 0.5720174565874203, 1.0, [2380.37633199], 0.0, 0
39, 9.50032925605774, 9.508384943008423, 88.75, 80.0, 0.5180158085879086, 0.5640172124393446, 85.678875, 78.566, 0.07656718649861169, 0.07337958922086261, 0.5640172124393446, 1.0, [2379.40511754], 0.0, 0
40, 9.750367164611816, 9.760197401046753, 88.75, 80.0, 0.5180158085879086, 0.5760175786614582, 85.678875, 78.566, 0.07656718649861169, 0.07373376669616805, 0.5760175786614582, 1.0, [2378.43446587], 0.0, 0
41, 10.005692958831787, 10.027934074401855, 88.75, 80.0, 0.5180158085879086, 0.5560169682912687, 85.678875, 78.566, 0.07656718649861169, 0.07373376669616805, 0.5560169682912687, 1.0, [2377.46437606], 0.0, 0
42, 10.250385761260986, 10.259635210037231, 88.75, 79.75, 0.5180158085879086, 0.5700173955504014, 85.678875, 78.362775, 0.07656718649861169, 0.0740879441714735, 0.5700173955504014, 1.0, [2376.49484721], 0.0, 0
