seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.011270761489868164, 0.052579402923583984, 0.0, 0.0, 1.9040581072420424, 0.5660172734763634, 13.534, 13.534, 5.9672469557786805, 0, 0.5660172734763634, 0.0, 0.0, 0.0, 0
2, 0.2553291320800781, 0.33627891540527344, 162.25, 150.0, 1.9100582903530994, 0.5560169682912687, 145.427025, 135.469, 5.992747734000672, 0.24863528982411168, 0.5560169682912687, 0.0, 0.0, 0.0, 2
3, 0.5052976608276367, 0.5120377540588379, 162.25, 150.25, 1.9140584124271371, 0.5600170903653066, 145.427025, 135.672225, 6.009748252815333, 0.4983331120741397, 0.5600170903653066, 0.0, 0.0, 0.0, 2
4, 0.7503077983856201, 0.7578694820404053, 162.5, 150.25, 1.9180585345011751, 0.5640172124393446, 145.63025, 135.672225, 6.026748771629994, 0.7487392892747785, 0.5640172124393446, 0.0, 0.0, 0.0, 2
5, 1.0003206729888916, 1.0078516006469727, 162.5, 150.25, 1.9180585345011751, 0.5680173345133824, 145.63025, 135.672225, 6.026748771629994, 0.9998538214260284, 0.5680173345133824, 0.0, 0.0, 0.0, 2
6, 1.250312328338623, 1.2578678131103516, 162.5, 150.0, 1.920058595538194, 0.5680173345133824, 145.63025, 135.469, 6.035249031037324, 1.2509683535772782, 0.5680173345133824, 0.0, 0.0, 0.0, 2
7, 1.5003161430358887, 1.5081958770751953, 162.5, 150.0, 1.9180585345011751, 0.5660172734763634, 145.63025, 135.469, 6.026748771629994, 1.502437063203833, 0.5660172734763634, 0.0, 0.0, 0.0, 2
8, 1.7503125667572021, 1.7570483684539795, 162.5, 150.25, 1.9120583513901181, 0.5640172124393446, 145.63025, 135.672225, 6.001247993408002, 1.753551595355083, 0.5640172124393446, 0.0, 0.0, 0.0, 2
9, 2.000319242477417, 2.00774884223938, 162.25, 149.75, 1.9180585345011751, 0.5620171514023256, 145.427025, 135.265775, 6.026748771629994, 2.0036035950804165, 0.5620171514023256, 0.0, 0.0, 0.0, 2
