seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in
1, 0.014290094375610352, 0.019578218460083008, 0.0, 0.0, 0.5160157475508896, 0.0, 13.534, 13.534, 0.06806692709128095, 0.0
2, 0.250324010848999, 0.2570209503173828, 27.75, 0.0, 0.5160157475508896, 0.0, 36.091975, 13.534, 0.06806692709128095, 0.0
3, 0.5003116130828857, 0.5058612823486328, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
4, 0.7503008842468262, 0.7560350894927979, 28.25, 0.0, 0.5180158085879086, -0.002000061037018952, 36.498425, 13.534, 0.07656718649861169, -0.002000061037018952
5, 1.000319480895996, 1.0058796405792236, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
6, 1.2502222061157227, 1.2695176601409912, 27.75, 0.0, 0.5160157475508896, 0.0, 36.091975, 13.534, 0.06806692709128095, 0.0
7, 1.5003209114074707, 1.5065853595733643, 27.25, 0.0, 0.5180158085879086, -0.002000061037018952, 35.685525, 13.534, 0.07656718649861169, -0.002000061037018952
8, 1.750304937362671, 1.7559888362884521, 27.5, 0.0, 0.5180158085879086, -0.002000061037018952, 35.88875, 13.534, 0.07656718649861169, -0.002000061037018952
9, 2.0003163814544678, 2.006221294403076, 27.5, 0.0, 0.5180158085879086, -0.002000061037018952, 35.88875, 13.534, 0.07656718649861169, -0.002000061037018952
10, 2.250324010848999, 2.2565321922302246, 28.0, 0.0, 0.5160157475508896, -0.002000061037018952, 36.2952, 13.534, 0.06806692709128095, -0.002000061037018952
11, 2.5003435611724854, 2.5063228607177734, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
12, 2.750309705734253, 2.7562122344970703, 28.0, 0.0, 0.5180158085879086, -0.002000061037018952, 36.2952, 13.534, 0.07656718649861169, -0.002000061037018952
13, 3.000430107116699, 3.0133543014526367, 27.75, 0.0, 0.5160157475508896, 0.0, 36.091975, 13.534, 0.06806692709128095, 0.0
14, 3.2503108978271484, 3.2597177028656006, 28.0, 0.0, 0.5160157475508896, 0.0, 36.2952, 13.534, 0.06806692709128095, 0.0
15, 3.500338315963745, 3.5072250366210938, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
16, 3.750314712524414, 3.7559053897857666, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
17, 4.000335454940796, 4.006109237670898, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
18, 4.250324010848999, 4.256087303161621, 27.25, 0.0, 0.5180158085879086, 0.0, 35.685525, 13.534, 0.07656718649861169, 0.0
19, 4.500312566757202, 4.50602388381958, 28.0, 0.0, 0.5180158085879086, 0.0, 36.2952, 13.534, 0.07656718649861169, 0.0
20, 4.7503156661987305, 4.75811767578125, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
21, 5.000321626663208, 5.006515026092529, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
22, 5.250324249267578, 5.25656795501709, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
23, 5.500423192977905, 5.505903005599976, 27.5, 0.0, 0.5200158696249275, 0.0, 35.88875, 13.534, 0.08506744590594195, 0.0
24, 5.750316381454468, 5.75650954246521, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
25, 6.000318288803101, 6.006497859954834, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
26, 6.250321626663208, 6.2566633224487305, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
27, 6.500180006027222, 6.506445407867432, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
28, 6.7502052783966064, 6.7563793659210205, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
29, 7.000326156616211, 7.006468772888184, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
30, 7.250321626663208, 7.256558418273926, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
31, 7.500304222106934, 7.506417989730835, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
32, 7.75032114982605, 7.756545305252075, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
33, 8.00031065940857, 8.006771564483643, 28.25, 0.0, 0.5220159306619465, 0.0, 36.498425, 13.534, 0.09356770531327269, 0.0
34, 8.25032353401184, 8.256603479385376, 28.5, 0.0, 0.5220159306619465, 0.0, 36.70165, 13.534, 0.09356770531327269, 0.0
35, 8.500079154968262, 8.506316423416138, 28.5, 0.0, 0.5220159306619465, 0.0, 36.70165, 13.534, 0.09356770531327269, 0.0
36, 8.750196695327759, 8.755774021148682, 28.25, 0.0, 0.5220159306619465, 0.0, 36.498425, 13.534, 0.09356770531327269, 0.0
37, 9.000316619873047, 9.007256031036377, 27.75, 0.0, 0.5220159306619465, 0.0, 36.091975, 13.534, 0.09356770531327269, 0.0
38, 9.25033712387085, 9.256662130355835, 27.75, 0.0, 0.5220159306619465, 0.0, 36.091975, 13.534, 0.09356770531327269, 0.0
