seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.011818885803222656, 0.06323742866516113, 0.0, 0.0, 2.090063783684805, 0.5580170293282877, 13.534, 13.534, 6.7577710806604205, 0, 0.5580170293282877, 0.0, 0.0, 0.0, 0
2, 0.2553098201751709, 0.34160876274108887, 166.0, 155.75, 2.0980640278328804, 0.5700173955504014, 148.47539999999998, 140.14317499999999, 6.7917721182897415, 0.2815737950275175, 0.5700173955504014, 1.0, [135.86101289], 0.0, 0
3, 0.5052831172943115, 0.5127482414245605, 165.75, 156.0, 2.0960639667958616, 0.5700173955504014, 148.27217499999998, 140.3464, 6.7832718588824115, 0.5645642999562567, 0.5700173955504014, 1.0, [135.11726871], 0.0, 0
4, 0.7503077983856201, 0.7583303451538086, 165.75, 155.75, 2.1060642719809564, 0.5600170903653066, 148.27217499999998, 140.14317499999999, 6.825773155919064, 0.8472006274096907, 0.5600170903653066, 1.0, [134.37694225], 0.0, 0
5, 1.0003156661987305, 1.008674144744873, 166.25, 155.75, 2.1060642719809564, 0.5620171514023256, 148.67862499999998, 140.14317499999999, 6.825773155919064, 1.1316078422396514, 0.5620171514023256, 1.0, [133.63762675], 0.0, 0
6, 1.2503180503845215, 1.2592194080352783, 165.5, 155.0, 2.1020641499069184, 0.5720174565874203, 148.06894999999997, 139.5335, 6.808772637104403, 1.4160150570696126, 0.5720174565874203, 1.0, [132.89927935], 0.0, 0
7, 1.500253677368164, 1.508570909500122, 166.25, 155.75, 2.1020641499069184, 0.5740175176244393, 148.67862499999998, 140.14317499999999, 6.808772637104403, 1.6997139169489628, 0.5740175176244393, 1.0, [132.1618034], 0.0, 0
8, 1.750309705734253, 1.7581496238708496, 166.0, 155.5, 2.0980640278328804, 0.5760175786614582, 148.47539999999998, 139.93994999999998, 6.7917721182897415, 1.983412776828313, 0.5760175786614582, 1.0, [131.42512935], 0.0, 0
9, 2.000323534011841, 2.008687973022461, 165.75, 155.5, 2.1020641499069184, 0.5800177007354961, 148.27217499999998, 139.93994999999998, 6.808772637104403, 2.266403281757052, 0.5800177007354961, 1.0, [130.68920173], 0.0, 0
10, 2.2503128051757812, 2.2580301761627197, 166.25, 155.5, 2.1020641499069184, 0.5760175786614582, 148.67862499999998, 139.93994999999998, 6.808772637104403, 2.5501021416364025, 0.5760175786614582, 1.0, [129.95401367], 0.0, 0
11, 2.500218629837036, 2.5078988075256348, 166.25, 155.5, 2.0960639667958616, 0.5760175786614582, 148.67862499999998, 139.93994999999998, 6.7832718588824115, 2.833801001515752, 0.5760175786614582, 1.0, [129.21945571], 0.0, 0
12, 2.750317335128784, 2.75789213180542, 165.75, 155.5, 2.1020641499069184, 0.5780176396984771, 148.27217499999998, 139.93994999999998, 6.808772637104403, 3.116437328969186, 0.5780176396984771, 1.0, [128.48555631], 0.0, 0
13, 3.000183582305908, 3.0084681510925293, 166.0, 155.5, 2.1000640888698996, 0.5860178838465528, 148.47539999999998, 139.93994999999998, 6.800272377697073, 3.400136188848536, 0.5860178838465528, 1.0, [127.75229457], 0.0, 0
14, 3.250312566757202, 3.258502960205078, 166.25, 155.5, 2.1020641499069184, 0.5860178838465528, 148.67862499999998, 139.93994999999998, 6.808772637104403, 3.683480871252581, 0.5860178838465528, 1.0, [127.01966371], 0.0, 0
15, 3.5003180503845215, 3.508639335632324, 165.75, 155.5, 2.1020641499069184, 0.584017822809534, 148.27217499999998, 139.93994999999998, 6.808772637104403, 3.9671797311319317, 0.584017822809534, 1.0, [126.28766366], 0.0, 0
16, 3.750321626663208, 3.758481740951538, 166.25, 155.0, 2.1020641499069184, 0.584017822809534, 148.67862499999998, 139.5335, 6.808772637104403, 4.250878591011282, 0.584017822809534, 1.0, [125.55629329], 0.0, 0
17, 4.000175476074219, 4.007961273193359, 166.0, 155.25, 2.084063600573748, 0.584017822809534, 148.47539999999998, 139.73672499999998, 6.73227030243843, 4.534577450890631, 0.584017822809534, 1.0, [124.82555137], 0.0, 0
18, 4.250311613082886, 4.2572338581085205, 166.0, 155.5, 2.0940639057588424, 0.5800177007354961, 148.47539999999998, 139.93994999999998, 6.774771599475081, 4.815088713492233, 0.5800177007354961, 1.0, [124.09538843], 0.0, 0
19, 4.500324487686157, 4.508606195449829, 166.25, 155.25, 2.1060642719809564, 0.5800177007354961, 148.67862499999998, 139.73672499999998, 6.825773155919064, 5.097370863470361, 0.5800177007354961, 1.0, [123.3656587], 0.0, 0
20, 4.750237464904785, 4.758490324020386, 165.75, 155.5, 2.1020641499069184, 0.5860178838465528, 148.27217499999998, 139.93994999999998, 6.808772637104403, 5.3817780783003215, 0.5860178838465528, 1.0, [122.63636129], 0.0, 0
21, 5.000327110290527, 5.00859522819519, 165.25, 155.5, 2.0980640278328804, 0.5780176396984771, 147.865725, 139.93994999999998, 6.7917721182897415, 5.665476938179673, 0.5780176396984771, 1.0, [121.90749702], 0.0, 0
22, 5.250309228897095, 5.2566978931427, 165.75, 155.75, 2.1000640888698996, 0.5860178838465528, 148.27217499999998, 140.14317499999999, 6.800272377697073, 5.948467443108412, 0.5860178838465528, 1.0, [121.17906376], 0.0, 0
23, 5.500322341918945, 5.508635759353638, 166.0, 155.75, 2.1020641499069184, 0.584017822809534, 148.47539999999998, 140.14317499999999, 6.808772637104403, 6.231812125512455, 0.584017822809534, 1.0, [120.45106059], 0.0, 0
24, 5.750323295593262, 5.757923126220703, 165.5, 155.25, 2.1000640888698996, 0.582017761772515, 148.06894999999997, 139.73672499999998, 6.800272377697073, 6.515510985391806, 0.582017761772515, 1.0, [119.72348727], 0.0, 0
25, 6.000316619873047, 6.008526086807251, 165.75, 154.75, 2.1020641499069184, 0.5860178838465528, 148.27217499999998, 139.330275, 6.808772637104403, 6.798855667795851, 0.5860178838465528, 1.0, [118.99634334], 0.0, 0
