seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.013236284255981445, 0.024821996688842773, 0.0, 0.0, 0.35001068147831665, 0.5860178838465528, 13.534, 13.534, -0.6374546037171542, 0, 0.5860178838465528, 0.0, 0.0, 0.0, 0
2, 0.2503066062927246, 0.25726842880249023, 22.5, 23.25, 0.35201074251533554, 0.5640172124393446, 31.82425, 32.433925, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2181.18563975], 0.0, 0
3, 0.5003228187561035, 0.5078575611114502, 22.25, 23.5, 0.35201074251533554, 0.5640172124393446, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2180.18655006], 0.0, 0
4, 0.7503588199615479, 0.7579822540283203, 22.25, 23.5, 0.35201074251533554, 0.5600170903653066, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5600170903653066, 1.0, [2179.1880254], 0.0, 0
5, 1.0003137588500977, 1.0077555179595947, 22.25, 23.25, 0.35201074251533554, 0.5600170903653066, 31.621025000000003, 32.433925, -0.628954344309824, 0, 0.5600170903653066, 1.0, [2178.19010717], 0.0, 0
6, 1.250326156616211, 1.2572095394134521, 22.25, 23.5, 0.35201074251533554, 0.5600170903653066, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5600170903653066, 1.0, [2177.19277847], 0.0, 0
7, 1.5003225803375244, 1.5078551769256592, 22.5, 23.5, 0.35201074251533554, 0.5620171514023256, 31.82425, 32.63715, -0.628954344309824, 0, 0.5620171514023256, 1.0, [2176.19604776], 0.0, 0
8, 1.7504069805145264, 1.7636067867279053, 22.5, 23.5, 0.35201074251533554, 0.542016541032136, 31.82425, 32.63715, -0.628954344309824, 0, 0.542016541032136, 1.0, [2175.19990716], 0.0, 0
9, 2.0003139972686768, 2.0077784061431885, 22.5, 23.5, 0.35201074251533554, 0.5640172124393446, 31.82425, 32.63715, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2174.20435956], 0.0, 0
10, 2.2503271102905273, 2.2578232288360596, 22.25, 23.25, 0.35201074251533554, 0.5640172124393446, 31.621025000000003, 32.433925, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2173.2094017], 0.0, 0
11, 2.5003180503845215, 2.5077035427093506, 22.25, 23.25, 0.3540108035523545, 0.5600170903653066, 31.621025000000003, 32.433925, -0.6204540849024934, 0, 0.5600170903653066, 1.0, [2172.21503419], 0.0, 0
12, 2.7503511905670166, 2.758018732070923, 22.5, 23.5, 0.35201074251533554, 0.5580170293282877, 31.82425, 32.63715, -0.628954344309824, 0, 0.5580170293282877, 1.0, [2171.22125506], 0.0, 0
13, 3.0003299713134766, 3.007908821105957, 22.25, 23.25, 0.35201074251533554, 0.5580170293282877, 31.621025000000003, 32.433925, -0.628954344309824, 0, 0.5580170293282877, 1.0, [2170.22806403], 0.0, 0
14, 3.250322103500366, 3.2572052478790283, 22.0, 22.75, 0.35201074251533554, 0.5600170903653066, 31.4178, 32.027475, -0.628954344309824, 0, 0.5600170903653066, 1.0, [2169.23545968], 0.0, 0
15, 3.500335931777954, 3.5081567764282227, 22.5, 23.5, 0.3540108035523545, 0.5620171514023256, 31.82425, 32.63715, -0.6204540849024934, 0, 0.5620171514023256, 1.0, [2168.24344141], 0.0, 0
16, 3.7503185272216797, 3.756965160369873, 22.25, 23.5, 0.35201074251533554, 0.5600170903653066, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5600170903653066, 1.0, [2167.25200801], 0.0, 0
17, 4.000306129455566, 4.006582736968994, 22.25, 23.5, 0.35201074251533554, 0.5580170293282877, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5580170293282877, 1.0, [2166.26115873], 0.0, 0
18, 4.2503063678741455, 4.256922960281372, 22.25, 23.0, 0.35201074251533554, 0.5600170903653066, 31.621025000000003, 32.2307, -0.628954344309824, 0, 0.5600170903653066, 1.0, [2165.27089248], 0.0, 0
19, 4.5003111362457275, 4.50688362121582, 22.5, 23.25, 0.35201074251533554, 0.5640172124393446, 31.82425, 32.433925, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2164.28120844], 0.0, 0
20, 4.750323295593262, 4.757187843322754, 22.25, 23.75, 0.35201074251533554, 0.5620171514023256, 31.621025000000003, 32.840375, -0.628954344309824, 0, 0.5620171514023256, 1.0, [2163.29210557], 0.0, 0
21, 5.000320911407471, 5.007842302322388, 22.25, 23.5, 0.35201074251533554, 0.5640172124393446, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2162.30358301], 0.0, 0
22, 5.250360488891602, 5.257150173187256, 22.25, 23.0, 0.35201074251533554, 0.5660172734763634, 31.621025000000003, 32.2307, -0.628954344309824, 0, 0.5660172734763634, 1.0, [2161.31563976], 0.0, 0
23, 5.50032639503479, 5.507758855819702, 22.25, 23.5, 0.35201074251533554, 0.5640172124393446, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2160.32827494], 0.0, 0
24, 5.750320911407471, 5.757131099700928, 22.5, 23.75, 0.35201074251533554, 0.5640172124393446, 31.82425, 32.840375, -0.628954344309824, 0, 0.5640172124393446, 1.0, [2159.34148758], 0.0, 0
25, 6.00031852722168, 6.007708549499512, 22.25, 23.25, 0.35201074251533554, 0.5680173345133824, 31.621025000000003, 32.433925, -0.628954344309824, 0, 0.5680173345133824, 1.0, [2158.35527678], 0.0, 0
26, 6.2503132820129395, 6.257080316543579, 22.25, 23.5, 0.35201074251533554, 0.5660172734763634, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5660172734763634, 1.0, [2157.36964157], 0.0, 0
27, 6.500327825546265, 6.507996320724487, 22.5, 23.5, 0.3540108035523545, 0.5660172734763634, 31.82425, 32.63715, -0.6204540849024934, 0, 0.5660172734763634, 1.0, [2156.38458106], 0.0, 0
28, 6.750320672988892, 6.75712513923645, 22.5, 22.75, 0.35201074251533554, 0.5660172734763634, 31.82425, 32.027475, -0.628954344309824, 0, 0.5660172734763634, 1.0, [2155.4000943], 0.0, 0
29, 7.000319957733154, 7.007684230804443, 22.25, 23.0, 0.35201074251533554, 0.5620171514023256, 31.621025000000003, 32.2307, -0.628954344309824, 0, 0.5620171514023256, 1.0, [2154.41618038], 0.0, 0
30, 7.2503180503845215, 7.257686614990234, 22.25, 23.5, 0.35201074251533554, 0.5620171514023256, 31.621025000000003, 32.63715, -0.628954344309824, 0, 0.5620171514023256, 1.0, [2153.43283836], 0.0, 0
