seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, press_fuzzy, volt_in, duty, duty_ss, duty_fuzzy, idx_strategy
1, 0.011836767196655273, 0.05851387977600098, 0.0, 0.0, 0.3820116580706198, 0.5660172734763634, 13.534, 13.534, -0.5014504531998658, 0, 0.5660172734763634, 0.0, 0.0, 0.0, 0
2, 0.2553274631500244, 0.3366973400115967, 37.75, 35.0, 0.3840117191076388, 0.5640172124393446, 44.220974999999996, 41.9855, -0.492950193792535, -0.02089376888332774, 0.5640172124393446, 1.0, [2181.66250975], 0.0, 0
3, 0.5052824020385742, 0.5125784873962402, 37.75, 35.5, 0.3820116580706198, 0.5760175786614582, 44.220974999999996, 42.39195, -0.5014504531998658, -0.04143336029135004, 0.5760175786614582, 1.0, [2180.66973206], 0.0, 0
4, 0.7503006458282471, 0.7586851119995117, 37.75, 35.25, 0.3840117191076388, 0.5620171514023256, 44.220974999999996, 42.188725, -0.492950193792535, -0.062327129174677774, 0.5620171514023256, 1.0, [2179.67754516], 0.0, 0
5, 1.000321388244629, 1.0089020729064941, 37.75, 35.5, 0.3840117191076388, 0.5620171514023256, 44.220974999999996, 42.39195, -0.492950193792535, -0.08286672058270007, 0.5620171514023256, 1.0, [2178.6859582], 0.0, 0
6, 1.2503175735473633, 1.2578322887420654, 37.5, 35.25, 0.3840117191076388, 0.5520168462172308, 44.01775, 42.188725, -0.492950193792535, -0.10340631199072237, 0.5520168462172308, 1.0, [2177.69496235], 0.0, 0
7, 1.5003273487091064, 1.5088167190551758, 38.0, 35.25, 0.3840117191076388, 0.5600170903653066, 44.4242, 42.188725, -0.492950193792535, -0.12394590339874466, 0.5600170903653066, 1.0, [2176.7045626], 0.0, 0
8, 1.750335454940796, 1.7585744857788086, 37.75, 35.5, 0.3840117191076388, 0.5540169072542498, 44.220974999999996, 42.39195, -0.492950193792535, -0.14448549480676695, 0.5540169072542498, 1.0, [2175.71475349], 0.0, 0
9, 2.000314235687256, 2.0086963176727295, 37.75, 35.75, 0.3840117191076388, 0.5580170293282877, 44.220974999999996, 42.595175, -0.492950193792535, -0.16502508621478926, 0.5580170293282877, 1.0, [2174.72553756], 0.0, 0
10, 2.250314950942993, 2.258659601211548, 37.75, 35.0, 0.3840117191076388, 0.5480167241431929, 44.220974999999996, 41.9855, -0.492950193792535, -0.18556467762281156, 0.5480167241431929, 1.0, [2173.73691113], 0.0, 0
11, 2.5003204345703125, 2.5088393688201904, 37.75, 35.75, 0.38601178014465776, 0.5500167851802118, 44.220974999999996, 42.595175, -0.48444993438520456, -0.20610426903083381, 0.5500167851802118, 1.0, [2172.74887536], 0.0, 0
12, 2.7503175735473633, 2.7585225105285645, 37.75, 35.5, 0.3840117191076388, 0.5520168462172308, 44.220974999999996, 42.39195, -0.492950193792535, -0.2262896829635507, 0.5520168462172308, 1.0, [2171.76142765], 0.0, 0
13, 3.000133752822876, 3.0086021423339844, 37.75, 35.5, 0.3840117191076388, 0.5480167241431929, 44.220974999999996, 42.39195, -0.492950193792535, -0.24682927437157298, 0.5480167241431929, 1.0, [2170.77456834], 0.0, 0
14, 3.250317096710205, 3.2584874629974365, 37.75, 35.75, 0.3840117191076388, 0.5500167851802118, 44.220974999999996, 42.595175, -0.492950193792535, -0.26736886577959523, 0.5500167851802118, 1.0, [2169.78829547], 0.0, 0
15, 3.500316619873047, 3.5083823204040527, 37.5, 35.25, 0.3840117191076388, 0.544016602069155, 44.01775, 42.188725, -0.492950193792535, -0.2879084571876176, 0.544016602069155, 1.0, [2168.80260888], 0.0, 0
16, 3.7503163814544678, 3.758558988571167, 37.5, 36.0, 0.3840117191076388, 0.540016479995117, 44.01775, 42.7984, -0.492950193792535, -0.30844804859563985, 0.540016479995117, 1.0, [2167.817507], 0.0, 0
17, 4.000319242477417, 4.008663177490234, 37.75, 35.5, 0.3840117191076388, 0.540016479995117, 44.220974999999996, 42.39195, -0.492950193792535, -0.32898764000366215, 0.540016479995117, 1.0, [2166.83298938], 0.0, 0
18, 4.250340700149536, 4.258151292800903, 37.75, 36.0, 0.3840117191076388, 0.5380164189580982, 44.220974999999996, 42.7984, -0.492950193792535, -0.34952723141168446, 0.5380164189580982, 1.0, [2165.8490547], 0.0, 0
19, 4.500321626663208, 4.508537530899048, 37.75, 35.75, 0.3840117191076388, 0.5360163579210792, 44.220974999999996, 42.595175, -0.492950193792535, -0.37006682281970676, 0.5360163579210792, 1.0, [2164.86570231], 0.0, 0
20, 4.750309467315674, 4.7585132122039795, 37.75, 35.5, 0.3840117191076388, 0.5380164189580982, 44.220974999999996, 42.39195, -0.492950193792535, -0.390606414227729, 0.5380164189580982, 1.0, [2163.88293103], 0.0, 0
21, 5.000317335128784, 5.008837938308716, 38.0, 36.25, 0.3840117191076388, 0.542016541032136, 44.4242, 43.001625, -0.492950193792535, -0.41114600563575127, 0.542016541032136, 1.0, [2162.90074012], 0.0, 0
22, 5.250093221664429, 5.258239269256592, 37.75, 36.25, 0.3840117191076388, 0.5380164189580982, 44.220974999999996, 43.001625, -0.492950193792535, -0.43168559704377363, 0.5380164189580982, 1.0, [2161.91912849], 0.0, 0
23, 5.500309705734253, 5.508535385131836, 37.75, 35.75, 0.3840117191076388, 0.542016541032136, 44.220974999999996, 42.595175, -0.492950193792535, -0.4522251884517959, 0.542016541032136, 1.0, [2160.93809532], 0.0, 0
24, 5.750320196151733, 5.7585062980651855, 37.5, 35.5, 0.3840117191076388, 0.542016541032136, 44.01775, 42.39195, -0.492950193792535, -0.47276477985981824, 0.542016541032136, 1.0, [2159.95763959], 0.0, 0
25, 6.0001983642578125, 6.008622884750366, 37.25, 36.0, 0.3840117191076388, 0.542016541032136, 43.814524999999996, 42.7984, -0.492950193792535, -0.4933043712678405, 0.542016541032136, 1.0, [2158.97776044], 0.0, 0
26, 6.2502968311309814, 6.261784791946411, 37.75, 35.75, 0.3820116580706198, 0.5500167851802118, 44.220974999999996, 42.595175, -0.5014504531998658, -0.4929501937925351, 0.5500167851802118, 1.0, [2157.99845688], 0.0, 0
27, 6.500311851501465, 6.508737564086914, 37.75, 36.0, 0.3840117191076388, 0.5480167241431929, 44.220974999999996, 42.7984, -0.492950193792535, -0.4933043712678405, 0.5480167241431929, 1.0, [2157.01972804], 0.0, 0
